source_path,dataset_name,crop,class,image_count,source_type,license_if_known,selected_for_training
F:\archive (1).zip::Corn__common_rust,archive (1).zip,PlantVillage Multi-Crop (23 species),Corn__common_rust,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Corn__gray_leaf_spot,archive (1).zip,PlantVillage Multi-Crop (23 species),Corn__gray_leaf_spot,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Corn__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Corn__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Corn__northern_leaf_blight,archive (1).zip,PlantVillage Multi-Crop (23 species),Corn__northern_leaf_blight,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Cucumber__diseased,archive (1).zip,PlantVillage Multi-Crop (23 species),Cucumber__diseased,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Cucumber__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Cucumber__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Gauva__diseased,archive (1).zip,PlantVillage Multi-Crop (23 species),Gauva__diseased,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Gauva__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Gauva__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Grape__black_measles,archive (1).zip,PlantVillage Multi-Crop (23 species),Grape__black_measles,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Grape__black_rot,archive (1).zip,PlantVillage Multi-Crop (23 species),Grape__black_rot,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Grape__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Grape__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Grape__leaf_blight_(isariopsis_leaf_spot),archive (1).zip,PlantVillage Multi-Crop (23 species),Grape__leaf_blight_(isariopsis_leaf_spot),898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Jamun__diseased,archive (1).zip,PlantVillage Multi-Crop (23 species),Jamun__diseased,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Jamun__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Jamun__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Lemon__diseased,archive (1).zip,PlantVillage Multi-Crop (23 species),Lemon__diseased,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Lemon__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Lemon__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Mango__diseased,archive (1).zip,PlantVillage Multi-Crop (23 species),Mango__diseased,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Mango__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Mango__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Peach__bacterial_spot,archive (1).zip,PlantVillage Multi-Crop (23 species),Peach__bacterial_spot,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Peach__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Peach__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Pepper_bell__bacterial_spot,archive (1).zip,PlantVillage Multi-Crop (23 species),Pepper_bell__bacterial_spot,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Pepper_bell__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Pepper_bell__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Pomegranate__diseased,archive (1).zip,PlantVillage Multi-Crop (23 species),Pomegranate__diseased,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Pomegranate__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Pomegranate__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Potato__early_blight,archive (1).zip,PlantVillage Multi-Crop (23 species),Potato__early_blight,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Potato__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Potato__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Potato__late_blight,archive (1).zip,PlantVillage Multi-Crop (23 species),Potato__late_blight,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Rice__brown_spot,archive (1).zip,PlantVillage Multi-Crop (23 species),Rice__brown_spot,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Rice__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Rice__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Rice__hispa,archive (1).zip,PlantVillage Multi-Crop (23 species),Rice__hispa,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Rice__leaf_blast,archive (1).zip,PlantVillage Multi-Crop (23 species),Rice__leaf_blast,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Rice__neck_blast,archive (1).zip,PlantVillage Multi-Crop (23 species),Rice__neck_blast,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Soybean__bacterial_blight,archive (1).zip,PlantVillage Multi-Crop (23 species),Soybean__bacterial_blight,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Soybean__caterpillar,archive (1).zip,PlantVillage Multi-Crop (23 species),Soybean__caterpillar,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Soybean__diabrotica_speciosa,archive (1).zip,PlantVillage Multi-Crop (23 species),Soybean__diabrotica_speciosa,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Soybean__downy_mildew,archive (1).zip,PlantVillage Multi-Crop (23 species),Soybean__downy_mildew,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Soybean__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Soybean__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Soybean__mosaic_virus,archive (1).zip,PlantVillage Multi-Crop (23 species),Soybean__mosaic_virus,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Soybean__powdery_mildew,archive (1).zip,PlantVillage Multi-Crop (23 species),Soybean__powdery_mildew,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Soybean__rust,archive (1).zip,PlantVillage Multi-Crop (23 species),Soybean__rust,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Soybean__southern_blight,archive (1).zip,PlantVillage Multi-Crop (23 species),Soybean__southern_blight,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Strawberry___leaf_scorch,archive (1).zip,PlantVillage Multi-Crop (23 species),Strawberry___leaf_scorch,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Strawberry__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Strawberry__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Sugarcane__bacterial_blight,archive (1).zip,PlantVillage Multi-Crop (23 species),Sugarcane__bacterial_blight,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Sugarcane__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Sugarcane__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Sugarcane__red_rot,archive (1).zip,PlantVillage Multi-Crop (23 species),Sugarcane__red_rot,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Sugarcane__red_stripe,archive (1).zip,PlantVillage Multi-Crop (23 species),Sugarcane__red_stripe,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Sugarcane__rust,archive (1).zip,PlantVillage Multi-Crop (23 species),Sugarcane__rust,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Tea__algal_leaf,archive (1).zip,PlantVillage Multi-Crop (23 species),Tea__algal_leaf,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Tea__anthracnose,archive (1).zip,PlantVillage Multi-Crop (23 species),Tea__anthracnose,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Tea__bird_eye_spot,archive (1).zip,PlantVillage Multi-Crop (23 species),Tea__bird_eye_spot,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Tea__brown_blight,archive (1).zip,PlantVillage Multi-Crop (23 species),Tea__brown_blight,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Tea__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Tea__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Tea__red_leaf_spot,archive (1).zip,PlantVillage Multi-Crop (23 species),Tea__red_leaf_spot,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Tomato__bacterial_spot,archive (1).zip,PlantVillage Multi-Crop (23 species),Tomato__bacterial_spot,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Tomato__early_blight,archive (1).zip,PlantVillage Multi-Crop (23 species),Tomato__early_blight,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Tomato__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Tomato__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Tomato__late_blight,archive (1).zip,PlantVillage Multi-Crop (23 species),Tomato__late_blight,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Tomato__leaf_mold,archive (1).zip,PlantVillage Multi-Crop (23 species),Tomato__leaf_mold,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Tomato__mosaic_virus,archive (1).zip,PlantVillage Multi-Crop (23 species),Tomato__mosaic_virus,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Tomato__septoria_leaf_spot,archive (1).zip,PlantVillage Multi-Crop (23 species),Tomato__septoria_leaf_spot,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Tomato__spider_mites_(two_spotted_spider_mite),archive (1).zip,PlantVillage Multi-Crop (23 species),Tomato__spider_mites_(two_spotted_spider_mite),898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Tomato__target_spot,archive (1).zip,PlantVillage Multi-Crop (23 species),Tomato__target_spot,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Tomato__yellow_leaf_curl_virus,archive (1).zip,PlantVillage Multi-Crop (23 species),Tomato__yellow_leaf_curl_virus,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Wheat__brown_rust,archive (1).zip,PlantVillage Multi-Crop (23 species),Wheat__brown_rust,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Wheat__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Wheat__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Wheat__septoria,archive (1).zip,PlantVillage Multi-Crop (23 species),Wheat__septoria,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Wheat__yellow_rust,archive (1).zip,PlantVillage Multi-Crop (23 species),Wheat__yellow_rust,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\banana fruit dataset 0.zip::overripe,banana fruit dataset 0.zip,Banana,overripe,3369,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\banana fruit dataset 0.zip::ripe,banana fruit dataset 0.zip,Banana,ripe,3369,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\banana fruit dataset 0.zip::rotten,banana fruit dataset 0.zip,Banana,rotten,3369,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\banana fruit dataset 0.zip::unripe,banana fruit dataset 0.zip,Banana,unripe,3369,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\banana leaf dataset.zip::cordana,banana leaf dataset.zip,Banana,cordana,634,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\banana leaf dataset.zip::healthy,banana leaf dataset.zip,Banana,healthy,634,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\banana leaf dataset.zip::pestalotiopsis,banana leaf dataset.zip,Banana,pestalotiopsis,634,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\banana leaf dataset.zip::sigatoka,banana leaf dataset.zip,Banana,sigatoka,634,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\bittergroud.zip::ashgourd_fresh,bittergroud.zip,Bitter Gourd,ashgourd_fresh,300,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\bittergroud.zip::ashgourd_nitrogen,bittergroud.zip,Bitter Gourd,ashgourd_nitrogen,300,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\bittergroud.zip::ashgourd_potassium,bittergroud.zip,Bitter Gourd,ashgourd_potassium,300,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\bittergroud.zip::bittergourd_fresh,bittergroud.zip,Bitter Gourd,bittergourd_fresh,300,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\bittergroud.zip::bittergourd_nitrogen,bittergroud.zip,Bitter Gourd,bittergourd_nitrogen,300,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\bittergroud.zip::bittergourd_potassium,bittergroud.zip,Bitter Gourd,bittergourd_potassium,300,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\bittergroud.zip::snakegourd_fresh,bittergroud.zip,Bitter Gourd,snakegourd_fresh,300,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\bittergroud.zip::snakegourd_nitrogen,bittergroud.zip,Bitter Gourd,snakegourd_nitrogen,300,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\bittergroud.zip::snakegourd_potassium,bittergroud.zip,Bitter Gourd,snakegourd_potassium,300,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\black pepper.zip::Footrot,black pepper.zip,Black Pepper,Footrot,500,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\black pepper.zip::Pollu_Disease,black pepper.zip,Black Pepper,Pollu_Disease,500,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\black pepper.zip::Slow-Decline,black pepper.zip,Black Pepper,Slow-Decline,500,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\brinjal tomato pepper.zip::Diseased Brinjal Leaf - Cercospora Leaf Spot,brinjal tomato pepper.zip,Brinjal / Tomato / Pepper,Diseased Brinjal Leaf - Cercospora Leaf Spot,1797,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\brinjal tomato pepper.zip::Fresh Brinjal Leaf,brinjal tomato pepper.zip,Brinjal / Tomato / Pepper,Fresh Brinjal Leaf,1797,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\brinjal tomato pepper.zip::Leaf_Mold,brinjal tomato pepper.zip,Brinjal / Tomato / Pepper,Leaf_Mold,1797,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\brinjal tomato pepper.zip::Pepper__bell___Bacterial_spot,brinjal tomato pepper.zip,Brinjal / Tomato / Pepper,Pepper__bell___Bacterial_spot,1797,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\brinjal tomato pepper.zip::Pepper__bell___healthy,brinjal tomato pepper.zip,Brinjal / Tomato / Pepper,Pepper__bell___healthy,1797,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\brinjal tomato pepper.zip::Septoria_leaf_spot,brinjal tomato pepper.zip,Brinjal / Tomato / Pepper,Septoria_leaf_spot,1797,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\brinjal tomato pepper.zip::healthy,brinjal tomato pepper.zip,Brinjal / Tomato / Pepper,healthy,1797,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\brinjal tomato pepper.zip::powdery_mildew,brinjal tomato pepper.zip,Brinjal / Tomato / Pepper,powdery_mildew,1797,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\brinjal.zip::Brinjal Fruit Creaking,brinjal.zip,Brinjal,Brinjal Fruit Creaking,364,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\brinjal.zip::Healty Brinjal,brinjal.zip,Brinjal,Healty Brinjal,364,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\brinjal.zip::Phomopsis Bright,brinjal.zip,Brinjal,Phomopsis Bright,364,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\brinjal.zip::Shoot and Fruit Borer,brinjal.zip,Brinjal,Shoot and Fruit Borer,364,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\brinjal.zip::Wet Rot,brinjal.zip,Brinjal,Wet Rot,364,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\cabbage.zip::Alternaria_Leaf_Spot,cabbage.zip,Cabbage,Alternaria_Leaf_Spot,200,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\cabbage.zip::Bacterial spot rot,cabbage.zip,Cabbage,Bacterial spot rot,200,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\cabbage.zip::Black Rot,cabbage.zip,Cabbage,Black Rot,200,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\cabbage.zip::Cabbage aphid colony,cabbage.zip,Cabbage,Cabbage aphid colony,200,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\cabbage.zip::Downy Mildew,cabbage.zip,Cabbage,Downy Mildew,200,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\cabbage.zip::No disease,cabbage.zip,Cabbage,No disease,200,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\cabbage.zip::club root,cabbage.zip,Cabbage,club root,200,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\cabbage.zip::ring spot,cabbage.zip,Cabbage,ring spot,200,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\chilli disease dataset.zip::healthy,chilli disease dataset.zip,Chilli,healthy,100,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\chilli disease dataset.zip::unhealthy,chilli disease dataset.zip,Chilli,unhealthy,100,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\chilli plantdataset.zip::Chilli __Whitefly,chilli plantdataset.zip,Chilli,Chilli __Whitefly,844,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\chilli plantdataset.zip::Chilli __Yellowish,chilli plantdataset.zip,Chilli,Chilli __Yellowish,844,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\chilli plantdataset.zip::Chilli__Anthracnos,chilli plantdataset.zip,Chilli,Chilli__Anthracnos,844,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\chilli plantdataset.zip::Chilli__Damping_Off,chilli plantdataset.zip,Chilli,Chilli__Damping_Off,844,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\chilli plantdataset.zip::Chilli__Leaf_Curl_Virus,chilli plantdataset.zip,Chilli,Chilli__Leaf_Curl_Virus,844,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\chilli plantdataset.zip::Chilli__Leaf_Spot,chilli plantdataset.zip,Chilli,Chilli__Leaf_Spot,844,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\chilli plantdataset.zip::Chilli__Veinal_Mottle_Virus,chilli plantdataset.zip,Chilli,Chilli__Veinal_Mottle_Virus,844,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\chilli plantdataset.zip::Chilli___healthy,chilli plantdataset.zip,Chilli,Chilli___healthy,844,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\coconut disease dataset2.zip::Healthy,coconut disease dataset2.zip,Coconut,Healthy,6,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,NO (Duplicate/Non-foliar)
F:\coconut disease dataset2.zip::Leaf_Spot,coconut disease dataset2.zip,Coconut,Leaf_Spot,6,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,NO (Duplicate/Non-foliar)
F:\coconut disease dataset2.zip::Pest_Damage,coconut disease dataset2.zip,Coconut,Pest_Damage,6,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,NO (Duplicate/Non-foliar)
F:\coconut disease dataset2.zip::Yellowing,coconut disease dataset2.zip,Coconut,Yellowing,6,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,NO (Duplicate/Non-foliar)
F:\coconut tree dataset.zip::Bud Root Dropping,coconut tree dataset.zip,Coconut,Bud Root Dropping,1159,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\coconut tree dataset.zip::Bud Rot,coconut tree dataset.zip,Coconut,Bud Rot,1159,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\coconut tree dataset.zip::Gray Leaf Spot,coconut tree dataset.zip,Coconut,Gray Leaf Spot,1159,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\coconut tree dataset.zip::Leaf Rot,coconut tree dataset.zip,Coconut,Leaf Rot,1159,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\coconut tree dataset.zip::Stem Bleeding,coconut tree dataset.zip,Coconut,Stem Bleeding,1159,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\coffee leaf disese dataset.zip::masks,coffee leaf disese dataset.zip,Coffee,masks,3328,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Corn___Common_Rust,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Corn___Common_Rust,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Corn___Gray_Leaf_Spot,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Corn___Gray_Leaf_Spot,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Corn___Healthy,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Corn___Healthy,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Corn___Northern_Leaf_Blight,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Corn___Northern_Leaf_Blight,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Potato___Early_Blight,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Potato___Early_Blight,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Potato___Healthy,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Potato___Healthy,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Potato___Late_Blight,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Potato___Late_Blight,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Rice_BrownSpot,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Rice_BrownSpot,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Rice_Healthy,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Rice_Healthy,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Rice_Hispa,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Rice_Hispa,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Rice_LeafBlast,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Rice_LeafBlast,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Wheat_Aphid,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Wheat_Aphid,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Wheat_BlackRust,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Wheat_BlackRust,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Wheat_Blast,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Wheat_Blast,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
